ID	X	Y	Curve
600	7183	3.339	61230005_M
601	7213	3.2	61230005_M
602	7244	3.038	61230005_M
603	7274	2.811	61230005_M
604	7305	2.612	61230005_M
605	7336	2.528	61230005_M
606	7365	2.574	61230005_M
607	7396	2.58	61230005_M
608	7426	2.843	61230005_M
609	7457	3.037	61230005_M
610	7487	3.186	61230005_M
611	7518	3.285	61230005_M
612	7549	3.241	61230005_M
613	7579	3.097	61230005_M
614	7610	2.923	61230005_M
615	7640	2.685	61230005_M
616	7671	2.66	61230005_M
617	7702	2.536	61230005_M
618	7730	2.506	61230005_M
619	7761	2.64	61230005_M
620	7791	2.842	61230005_M
621	7822	3.753	61230005_M
622	7852	4.113	61230005_M
623	7883	4.184	61230005_M
624	7914	4.133	61230005_M
625	7944	3.907	61230005_M
626	7975	3.592	61230005_M
627	8005	3.346	61230005_M
628	8036	3.058	61230005_M
629	8067	3.534	61230005_M
630	8095	3.179	61230005_M
631	8126	3.073	61230005_M
632	8156	3.088	61230005_M
633	8187	3.248	61230005_M
634	8217	3.544	61230005_M
635	8248	3.601	61230005_M
636	8279	3.519	61230005_M
637	8309	3.383	61230005_M
638	8340	3.152	61230005_M
639	8370	2.902	61230005_M
640	8401	2.76	61230005_M
641	8432	2.678	61230005_M
642	8460	2.724	61230005_M
643	8491	2.748	61230005_M
644	8521	2.876	61230005_M
645	8552	3.016	61230005_M
646	8582	3.418	61230005_M
647	8613	3.423	61230005_M
648	8644	3.439	61230005_M
649	8674	3.273	61230005_M
650	8705	3.018	61230005_M
651	8735	2.797	61230005_M
652	8766	2.651	61230005_M
653	8797	2.581	61230005_M
654	8826	2.558	61230005_M
655	8857	2.625	61230005_M
656	8887	2.781	61230005_M
657	8918	3.132	61230005_M
658	8948	3.246	61230005_M
659	8979	3.232	61230005_M
660	9010	3.239	61230005_M
661	9040	3.113	61230005_M
662	9071	2.917	61230005_M
663	9101	2.753	61230005_M
664	9132	2.61	61230005_M
665	9163	2.525	61230005_M
666	9191	2.508	61230005_M
667	9222	2.587	61230005_M
668	9252	2.818	61230005_M
669	9283	2.938	61230005_M
670	9313	3.11	61230005_M
671	9344	3.136	61230005_M
672	9375	3.143	61230005_M
673	9405	3.014	61230005_M
674	9436	2.833	61230005_M
675	9466	2.617	61230005_M
676	9497	2.484	61230005_M
677	9528	2.435	61230005_M
678	9556	2.428	61230005_M
679	9587	2.5	61230005_M
680	9617	2.594	61230005_M
681	9648	2.771	61230005_M
682	9678	2.887	61230005_M
683	9709	2.953	61230005_M
684	9740	2.94	61230005_M
685	9770	2.833	61230005_M
686	9801	2.669	61230005_M
687	9831	2.469	61230005_M
688	9862	2.354	61230005_M
689	9893	2.329	61230005_M
690	9921	2.294	61230005_M
691	9952	2.541	61230005_M
692	9982	2.898	61230005_M
693	10013	2.944	61230005_M
694	10043	3.445	61230005_M
695	10074	3.631	61230005_M
696	10105	3.469	61230005_M
697	10135	3.325	61230005_M
698	10166	3.088	61230005_M
699	10196	2.836	61230005_M
700	10227	2.696	61230005_M
701	10258	2.593	61230005_M
702	10287	2.552	61230005_M
703	10318	2.605	61230005_M
704	10348	2.791	61230005_M
705	10379	3.194	61230005_M
706	10409	3.706	61230005_M
707	10440	3.615	61230005_M
708	10471	3.494	61230005_M
709	10501	3.372	61230005_M
710	10532	3.118	61230005_M
711	10562	2.853	61230005_M
712	10593	2.675	61230005_M
713	10624	2.691	61230005_M
714	10652	2.695	61230005_M
715	10683	2.676	61230005_M
716	10713	2.857	61230005_M
717	10744	3.14	61230005_M
718	10774	3.212	61230005_M
719	10805	3.39	61230005_M
720	10836	3.288	61230005_M
721	10866	3.16	61230005_M
722	10897	3.037	61230005_M
723	10927	2.737	61230005_M
724	0	10.475	61230013_M
725	31	10.408	61230013_M
726	60	10.362	61230013_M
727	91	10.414	61230013_M
728	121	10.513	61230013_M
729	152	10.607	61230013_M
730	182	11.378	61230013_M
731	213	11.425	61230013_M
732	244	11.242	61230013_M
733	274	10.926	61230013_M
734	305	10.885	61230013_M
735	335	10.627	61230013_M
736	366	10.606	61230013_M
737	397	10.451	61230013_M
738	425	10.385	61230013_M
739	456	10.549	61230013_M
740	486	10.702	61230013_M
741	517	10.638	61230013_M
742	547	10.985	61230013_M
743	578	10.846	61230013_M
744	609	10.744	61230013_M
745	639	10.624	61230013_M
746	670	10.5	61230013_M
747	700	10.34	61230013_M
748	731	10.363	61230013_M
749	762	10.286	61230013_M
750	790	10.342	61230013_M
751	821	10.288	61230013_M
752	851	10.372	61230013_M
753	882	11.245	61230013_M
754	912	11.29	61230013_M
755	943	11.289	61230013_M
756	974	11.247	61230013_M
757	1004	10.921	61230013_M
758	1035	10.79	61230013_M
759	1065	10.666	61230013_M
760	1096	10.559	61230013_M
761	1127	10.553	61230013_M
762	1155	10.351	61230013_M
763	1186	10.322	61230013_M
764	1216	10.631	61230013_M
765	1247	11.304	61230013_M
766	1277	11.379	61230013_M
767	1308	11.275	61230013_M
768	1339	11.255	61230013_M
769	1369	10.955	61230013_M
770	1400	10.814	61230013_M
771	1430	10.506	61230013_M
772	1461	10.428	61230013_M
773	1492	10.383	61230013_M
774	1521	10.355	61230013_M
775	1552	10.405	61230013_M
776	1582	10.538	61230013_M
777	1613	10.622	61230013_M
778	1643	11.35	61230013_M
779	1674	11.358	61230013_M
780	1705	11.105	61230013_M
781	1735	10.79	61230013_M
782	1766	10.672	61230013_M
783	1796	10.389	61230013_M
784	1827	10.424	61230013_M
785	1858	10.397	61230013_M
786	1886	10.355	61230013_M
787	1917	10.52	61230013_M
788	1947	10.577	61230013_M
789	1978	10.889	61230013_M
790	2008	11.035	61230013_M
791	2039	10.9	61230013_M
792	2070	10.792	61230013_M
793	2100	10.688	61230013_M
794	2131	10.672	61230013_M
795	2161	10.5	61230013_M
796	2192	10.503	61230013_M
797	2223	10.407	61230013_M
798	2251	10.103	61230013_M
799	2282	10.209	61230013_M
800	2312	10.591	61230013_M
801	2343	10.986	61230013_M
802	2373	11.47	61230013_M
803	2404	11.311	61230013_M
804	2435	11.016	61230013_M
805	2465	10.894	61230013_M
806	2496	10.693	61230013_M
807	2526	10.526	61230013_M
808	2557	10.436	61230013_M
809	2588	10.399	61230013_M
810	2616	10.447	61230013_M
811	2647	10.414	61230013_M
812	2677	10.568	61230013_M
813	2708	11.069	61230013_M
814	2738	11.281	61230013_M
815	2769	11.182	61230013_M
816	2800	10.921	61230013_M
817	2830	10.675	61230013_M
818	2861	10.535	61230013_M
819	2891	10.43	61230013_M
820	2922	10.362	61230013_M
821	2953	10.312	61230013_M
822	2982	10.255	61230013_M
823	3013	10.275	61230013_M
824	3043	10.282	61230013_M
825	3074	10.318	61230013_M
826	3104	10.372	61230013_M
827	3135	10.355	61230013_M
828	3166	10.314	61230013_M
829	3196	10.269	61230013_M
830	3227	10.208	61230013_M
831	3257	10.136	61230013_M
832	3288	10.095	61230013_M
833	3319	10.179	61230013_M
834	3347	10.148	61230013_M
835	3378	10.29	61230013_M
836	3408	10.682	61230013_M
837	3439	10.824	61230013_M
838	3469	11.269	61230013_M
839	3500	10.953	61230013_M
840	3531	10.807	61230013_M
841	3561	10.52	61230013_M
842	3592	10.387	61230013_M
843	3622	10.357	61230013_M
844	3653	10.255	61230013_M
845	3684	10.208	61230013_M
846	3712	10.445	61230013_M
847	3743	10.239	61230013_M
848	3773	10.45	61230013_M
849	3804	10.664	61230013_M
850	3834	11.125	61230013_M
851	3865	11.009	61230013_M
852	3896	10.678	61230013_M
853	3926	10.613	61230013_M
854	3957	10.593	61230013_M
855	3959	10.561	61230013_M
856	3987	10.285	61230013_M
857	4018	10.171	61230013_M
858	4049	10.164	61230013_M
859	4077	10.169	61230013_M
860	4108	10.293	61230013_M
861	4138	10.201	61230013_M
862	4169	10.334	61230013_M
863	4199	10.395	61230013_M
864	4222	10.391	61230013_M
